feature,importance
bedrooms,0.15843143150583575
accommodates,0.13279647009992607
neighbourhood_cleansedIndex,0.10999025254162696
beds,0.09951358167394081
cancellation_policyIndex,0.0851694066862927
property_typeIndex,0.0607447561364517
bathrooms,0.051349156296104204
minimum_nights,0.050428887321531404
latitude,0.04895574871031394
instant_bookableIndex,0.028300525242538645
room_typeIndex,0.024639379872367452
review_scores_value,0.02218406290181965
review_scores_rating,0.01944100023052368
host_total_listings_count,0.01918568625985851
number_of_reviews,0.016728697413040304
longitude,0.0163072468218712
host_is_superhostIndex,0.013551850116716866
review_scores_checkin_na,0.00813393949974582
review_scores_communication_na,0.0074691073786609195
review_scores_accuracy_na,0.00616857982138504
review_scores_location,0.003930384875074431
review_scores_location_na,0.003411598268000946
review_scores_value_na,0.0031544340036435427
review_scores_cleanliness_na,0.003077619734430949
review_scores_rating_na,0.0029659576599191987
review_scores_communication,0.0019790025396932945
review_scores_cleanliness,0.0014637147697141933
review_scores_accuracy,0.0004113024527197657
review_scores_checkin,7.549767480228974e-05
bed_typeIndex,2.0808893119602256e-05
bedrooms_na,1.9912598329945887e-05
bathrooms_na,0.0
beds_na,0.0
